action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,3447952,[],CHEMBL1249194,Inhibition of Bcr-abl tyrosine phosphorylation in mouse BA/F3ells p210 Bcr-abl after 90 mins by ELISA,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1240306,Nat Chem Biol,2006,"{'bei': '13.55', 'le': '0.25', 'lle': '2.10', 'sei': '7.75'}",CHEMBL941,IMATINIB,CHEMBL941,6.69,0,http://www.openphacts.org/units/Nanomolar,953032,=,1,1,=,,IC50,nM,,204.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,204.0
,,3471356,[],CHEMBL1251496,Inhibition of BCR-ABL1 autophosphorylation in human K562 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1250538,Bioorg Med Chem,2010,"{'bei': '12.81', 'le': '0.23', 'lle': '1.74', 'sei': '7.33'}",CHEMBL941,IMATINIB,CHEMBL941,6.33,0,http://www.openphacts.org/units/Nanomolar,956598,=,1,1,=,,IC50,nM,,473.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,473.0
,,3471357,[],CHEMBL1251495,Inhibition of autophosphorylation of BCR-ABL1 expressed in Ba/F cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1250538,Bioorg Med Chem,2010,"{'bei': '13.48', 'le': '0.25', 'lle': '2.07', 'sei': '7.71'}",CHEMBL941,IMATINIB,CHEMBL941,6.66,0,http://www.openphacts.org/units/Nanomolar,956598,=,1,1,=,,IC50,nM,,221.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,221.0
,,3471370,[],CHEMBL1251496,Inhibition of BCR-ABL1 autophosphorylation in human K562 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1250538,Bioorg Med Chem,2010,"{'bei': '13.93', 'le': '0.26', 'lle': '1.02', 'sei': '7.56'}",CHEMBL255863,NILOTINIB,CHEMBL255863,7.38,0,http://www.openphacts.org/units/Nanomolar,956711,=,1,1,=,,IC50,nM,,42.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,42.0
,,3471371,[],CHEMBL1251495,Inhibition of autophosphorylation of BCR-ABL1 expressed in Ba/F cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1250538,Bioorg Med Chem,2010,"{'bei': '14.54', 'le': '0.27', 'lle': '1.34', 'sei': '7.89'}",CHEMBL255863,NILOTINIB,CHEMBL255863,7.70,0,http://www.openphacts.org/units/Nanomolar,956711,=,1,1,=,,IC50,nM,,20.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,20.0
,,6159338,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '13.19', 'le': '0.24', 'lle': '1.92', 'sei': '7.55'}",CHEMBL941,IMATINIB,CHEMBL941,6.51,0,http://www.openphacts.org/units/Nanomolar,1412355,=,1,1,=,,IC50,nM,,309.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,309.0
,,6159339,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '13.99', 'le': '0.26', 'lle': '1.05', 'sei': '7.59'}",CHEMBL255863,NILOTINIB,CHEMBL255863,7.41,0,http://www.openphacts.org/units/Nanomolar,1412356,=,1,1,=,,IC50,nM,,39.3,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,39.3
,,6159340,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '11.55', 'le': '0.22', 'lle': '-0.85', 'sei': '7.29'}",CHEMBL1760363,,CHEMBL1760363,6.17,0,http://www.openphacts.org/units/Nanomolar,1412357,=,1,1,=,,IC50,nM,,671.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,671.0
,,6159341,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '12.09', 'le': '0.23', 'lle': '-0.42', 'sei': '7.43'}",CHEMBL1760364,,CHEMBL1760364,6.29,0,http://www.openphacts.org/units/Nanomolar,1412358,=,1,1,=,,IC50,nM,,507.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,507.0
,,6159342,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ncn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)n1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '11.80', 'le': '0.23', 'lle': '-0.10', 'sei': '6.47'}",CHEMBL1760365,,CHEMBL1760365,6.32,0,http://www.openphacts.org/units/Nanomolar,1412359,=,1,1,=,,IC50,nM,,480.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,480.0
,,6159343,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(C(=O)Nc2cc(-c3cnn(C)c3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '11.80', 'le': '0.23', 'lle': '-0.62', 'sei': '7.45'}",CHEMBL1760366,,CHEMBL1760366,6.31,0,http://www.openphacts.org/units/Nanomolar,1412360,=,1,1,=,,IC50,nM,,491.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,491.0
,,6159344,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(C(=O)Nc2cc(-c3cn(C)nn3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '12.24', 'le': '0.24', 'lle': '0.24', 'sei': '6.72'}",CHEMBL1760367,,CHEMBL1760367,6.56,0,http://www.openphacts.org/units/Nanomolar,1412361,=,1,1,=,,IC50,nM,,277.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,277.0
,,6159345,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,,CHEMBL1760368,,CHEMBL1760368,,0,http://www.openphacts.org/units/Nanomolar,1412362,>,1,1,>,,IC50,nM,,10000.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,10000.0
,,6159346,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(NC(=O)c2ccc(C)c(Nc3nc(-c4cccnc4)cs3)c2)cc(-n2cnc(C)c2)c1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '12.72', 'le': '0.24', 'lle': '-0.20', 'sei': '7.21'}",CHEMBL1760369,,CHEMBL1760369,6.11,0,http://www.openphacts.org/units/Nanomolar,1412363,=,1,1,=,,IC50,nM,,774.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,774.0
,,6159347,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(C)C)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '13.27', 'le': '0.25', 'lle': '-0.38', 'sei': '7.97'}",CHEMBL1760370,,CHEMBL1760370,6.75,0,http://www.openphacts.org/units/Nanomolar,1412364,=,1,1,=,,IC50,nM,,177.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,177.0
,,6159348,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C(C)(C)C)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '14.73', 'le': '0.28', 'lle': '0.40', 'sei': '9.08'}",CHEMBL1760371,,CHEMBL1760371,7.70,0,http://www.openphacts.org/units/Nanomolar,1412365,=,1,1,=,,IC50,nM,,20.1,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,20.1
,,6159349,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)cc(C34CC5CC(CC(C5)C3)C4)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,,CHEMBL1760372,,CHEMBL1760372,,0,http://www.openphacts.org/units/Nanomolar,1412366,>,1,1,>,,IC50,nM,,2000.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,2000.0
,,6159350,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(Cl)cc(NC(=O)c3ccc(C)c(Nc4nc(-c5cccnc5)cs4)c3)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '11.75', 'le': '0.23', 'lle': '-0.77', 'sei': '6.95'}",CHEMBL1760373,,CHEMBL1760373,5.89,0,http://www.openphacts.org/units/Nanomolar,1412367,=,1,1,=,,IC50,nM,,1300.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1300.0
,,6159351,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1cn(-c2cc(NC(=O)c3cccc(Nc4nc(-c5cccnc5)cs4)c3)cc(C(F)(F)F)c2)cn1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '10.42', 'le': '0.20', 'lle': '-1.29', 'sei': '6.40'}",CHEMBL1760374,,CHEMBL1760374,5.42,0,http://www.openphacts.org/units/Nanomolar,1412368,=,1,1,=,,IC50,nM,,3780.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,3780.0
,,6159352,[],CHEMBL1763239,Inhibition of Bcr/Abl by FRET-based Z-lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CCc1ccc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,,,CHEMBL1759982,Bioorg Med Chem Lett,2011,"{'bei': '9.59', 'le': '0.18', 'lle': '-2.02', 'sei': '6.21'}",CHEMBL1760375,,CHEMBL1760375,5.26,0,http://www.openphacts.org/units/Nanomolar,1412369,=,1,1,=,,IC50,nM,,5510.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,5510.0
,,12156586,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '16.26', 'le': '0.30', 'lle': '2.82', 'sei': '8.61'}",CHEMBL1214141,,CHEMBL1214141,8.90,0,http://www.openphacts.org/units/Nanomolar,1750382,=,1,1,=,,IC50,nM,,1.25,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.25
,,12158595,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)c1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '11.90', 'le': '0.22', 'lle': '1.83', 'sei': '6.66'}",CHEMBL2178281,,CHEMBL2178281,7.18,0,http://www.openphacts.org/units/Nanomolar,1751136,=,1,1,=,,IC50,nM,,66.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,66.0
,,12158596,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '13.00', 'le': '0.24', 'lle': '2.72', 'sei': '7.25'}",CHEMBL2178280,,CHEMBL2178280,7.82,0,http://www.openphacts.org/units/Nanomolar,1751135,=,1,1,=,,IC50,nM,,15.0,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,15.0
,,12158597,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '15.28', 'le': '0.29', 'lle': '4.22', 'sei': '8.35'}",CHEMBL2178279,,CHEMBL2178279,9.01,0,http://www.openphacts.org/units/Nanomolar,1751134,=,1,1,=,,IC50,nM,,0.98,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,0.98
,,12158598,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CN1CCN(Cc2ccc(NC(=O)c3ccc(Br)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '14.29', 'le': '0.30', 'lle': '4.16', 'sei': '8.49'}",CHEMBL2178278,,CHEMBL2178278,9.15,0,http://www.openphacts.org/units/Nanomolar,1751133,=,1,1,=,,IC50,nM,,0.7,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,0.7
,,12158599,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '15.84', 'le': '0.31', 'lle': '4.56', 'sei': '8.76'}",CHEMBL2178277,,CHEMBL2178277,9.44,0,http://www.openphacts.org/units/Nanomolar,1751132,=,1,1,=,,IC50,nM,,0.36,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,0.36
,,12158600,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '16.18', 'le': '0.30', 'lle': '5.02', 'sei': '8.69'}",CHEMBL2178276,,CHEMBL2178276,9.38,0,http://www.openphacts.org/units/Nanomolar,1751131,=,1,1,=,,IC50,nM,,0.42,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,0.42
,,12158601,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,CN1CCN(Cc2ccc(NC(=O)c3cccc(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '16.02', 'le': '0.30', 'lle': '4.78', 'sei': '8.34'}",CHEMBL2178275,,CHEMBL2178275,9.00,0,http://www.openphacts.org/units/Nanomolar,1751130,=,1,1,=,,IC50,nM,,1.01,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.01
,,12158602,[],CHEMBL2186859,Inhibition of wild type Bcr-Abl using Tyr2 peptide as substrate after 2 hrs by FRET-based Z'-Lyte assay,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ncn(-c2cc(NC(=O)c3ccc(C)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc(C(F)(F)F)c2)n1,,,CHEMBL2176963,J Med Chem,2012,"{'bei': '16.00', 'le': '0.30', 'lle': '4.04', 'sei': '6.60'}",CHEMBL2178274,,CHEMBL2178274,8.71,0,http://www.openphacts.org/units/Nanomolar,1751129,=,1,1,=,,IC50,nM,,1.94,CHEMBL2096618,Homo sapiens,Bcr/Abl fusion protein,9606,,,IC50,nM,UO_0000065,,1.94
